Date,EE_BC1,EE_BC2,EE_BC3,Q_BC1,T_SAL_BC1,T_ENT_BC1,ET_BC1_Frio,ET_BC1_Calor,Q_BC2,T_SAL_BC2,T_ENT_BC2,ET_BC2_Frio,ET_BC2_Calor,Q_BC3,T_SAL_BC3,T_ENT_BC3,ET_BC3_Frio,ET_BC3_Calor,Q_TER,T_IMP_TER,T_RET_TER,ET_TER_Frio,ET_TER_Calor,EE_TER,EE_BC1_TER,EE_BC2_TER
07-02-2024;22:20:00.000,"31.938","65.54","2895.589","16.99","44.48","42.25","0.01","0.113","0","41.55","37.22","0","0.3","0","15.82","16.27","0.712","1.291","34.1","15.02","15.83","0.248","0","30.712","0","0"
07-02-2024;22:30:00.000,"34.12","68.88","2895.589","16.63","48.66","44.88","0.01","0.123","16.11","46.58","45.1","0","0.31","0","15.88","16.32","0.712","1.291","36.63","13.98","15.86","0.257","0","31.107","0","0"
07-02-2024;22:40:00.000,"35.143","73.19","2895.589","0","45.68","45.4","0.01","0.129","0","46.42","46.33","0","0.33","0","15.92","16.37","0.712","1.291","32.61","15.79","15.72","0.262","0","31.497","0","0"
07-02-2024;22:50:00.000,"35.143","73.19","2895.589","0","44.29","45.41","0.01","0.129","0","44.87","43.94","0","0.33","0","15.98","16.43","0.712","1.291","32.62","15.61","15.55","0.262","0","31.881","0","0"
07-02-2024;23:00:00.000,"35.143","73.19","2895.589","0","43.13","44.95","0.01","0.129","0","43.77","41.77","0","0.33","0","16.01","16.43","0.712","1.291","32.81","15.74","15.73","0.262","0","32.265","0","0"
07-02-2024;23:10:00.000,"35.143","73.19","2895.589","0","42.1","44.4","0.01","0.129","0","42.84","39.73","0","0.33","0","16.05","16.47","0.712","1.291","32.56","15.81","15.79","0.262","0","32.648","0","0"
07-02-2024;23:20:00.000,"35.143","73.19","2895.589","0","41.35","43.89","0.01","0.129","0","42.1","38.25","0","0.33","0","16.12","16.52","0.712","1.291","32.87","15.84","15.83","0.262","0","33.034","0","0"
07-02-2024;23:30:00.000,"35.937","73.19","2895.589","16.88","44.74","42.3","0.01","0.132","0","41.38","36.99","0","0.33","0","16.16","16.6","0.712","1.291","34.01","14.92","15.88","0.265","0","33.423","0","0"
07-02-2024;23:40:00.000,"38.256","78.5","2895.589","16.75","49.35","45.62","0.01","0.143","16.09","47.21","45.59","0","0.35","0","16.22","16.65","0.712","1.291","37.13","13.98","15.91","0.275","0","33.816","0","0"
07-02-2024;23:50:00.000,"38.883","80.69","2895.589","0","45.47","45.44","0.01","0.147","0","46","46.02","0","0.36","0","16.26","16.67","0.712","1.291","32.68","15.76","15.73","0.279","0","34.205","0","0"
08-02-2024;00:00:00.000,"38.883","80.69","2895.589","0","44.12","45.3","0.01","0.147","0","44.67","43.62","0","0.36","0","16.3","16.7","0.712","1.291","32.79","15.61","15.55","0.279","0","34.589","0","0"
08-02-2024;00:10:00.000,"38.883","80.69","2895.589","0","42.91","44.85","0.01","0.147","0","43.64","41.51","0","0.36","0","16.34","16.75","0.712","1.291","32.52","15.8","15.78","0.279","0","34.973","0","0"
08-02-2024;00:20:00.000,"38.883","80.69","2895.589","0","42.08","44.36","0.01","0.147","0","42.76","39.81","0","0.36","0","16.38","16.77","0.712","1.291","32.75","15.85","15.83","0.279","0","35.359","0","0"
08-02-2024;00:30:00.000,"38.883","80.69","2895.589","0","41.42","43.72","0.01","0.147","0","42.07","38.41","0","0.36","0","16.44","16.82","0.712","1.291","32.47","15.87","15.85","0.279","0","35.743","0","0"
08-02-2024;00:40:00.000,"39.859","80.69","2895.589","16.74","45.19","42.45","0.01","0.151","0","41.44","37.32","0","0.36","0","16.49","16.87","0.712","1.291","34.79","14.85","15.9","0.282","0","36.131","0","0"
